Width,Height,Mode,Format,SizeBytes,FileSize,FileSizeUnit,ClassId,ClassName,Path
77,96,RGB,PNG,1626,1.59, KB,0,Double top,Segmentation/0_0000_00015.png
283,175,RGB,PNG,1368,1.34, KB,0,Double top,Segmentation/0_00010.png
114,168,RGB,PNG,2712,2.65, KB,1,Double bottom,Segmentation/1_00027.png
54,93,RGB,PNG,2008,1.96, KB,1,Double bottom,Segmentation/1_0000_00008.png
111,113,RGB,PNG,1951,1.91, KB,1,Double bottom,Segmentation/1_0000_00002.png
159,170,RGB,PNG,3376,3.30, KB,0,Double top,Segmentation/0_0000_00036.png
79,84,RGB,PNG,1755,1.71, KB,0,Double top,Segmentation/0_0000_00111.png
75,165,RGB,PNG,3017,2.95, KB,1,Double bottom,Segmentation/1_00013.png
170,112,RGB,PNG,3430,3.35, KB,1,Double bottom,Segmentation/1_0000_00066.png
61,80,RGB,PNG,562,562.00, B,0,Double top,Segmentation/0_00017.png
60,86,RGB,PNG,1621,1.58, KB,1,Double bottom,Segmentation/1_00008.png
86,108,RGB,PNG,1942,1.90, KB,0,Double top,Segmentation/0_0000_00053.png
94,61,RGB,PNG,529,529.00, B,0,Double top,Segmentation/0_00018.png
61,90,RGB,PNG,609,609.00, B,0,Double top,Segmentation/0_00026.png
62,94,RGB,PNG,1534,1.50, KB,0,Double top,Segmentation/0_0000_00100.png
58,131,RGB,PNG,1681,1.64, KB,0,Double top,Segmentation/0_0000_00041.png
71,99,RGB,PNG,1728,1.69, KB,0,Double top,Segmentation/0_0000_00117.png
112,94,RGB,PNG,2232,2.18, KB,0,Double top,Segmentation/0_0000_00019.png
62,106,RGB,PNG,1477,1.44, KB,0,Double top,Segmentation/0_0000_00005.png
158,138,RGB,PNG,3666,3.58, KB,1,Double bottom,Segmentation/1_0000_00011.png
78,51,RGB,PNG,1328,1.30, KB,1,Double bottom,Segmentation/1_0000_00076.png
51,52,RGB,PNG,992,992.00, B,0,Double top,Segmentation/0_0000_00128.png
82,63,RGB,PNG,1365,1.33, KB,1,Double bottom,Segmentation/1_0000_00022.png
101,118,RGB,PNG,2043,2.00, KB,1,Double bottom,Segmentation/1_0000_00086.png
73,83,RGB,PNG,1961,1.92, KB,1,Double bottom,Segmentation/1_00007.png
52,79,RGB,PNG,1160,1.13, KB,0,Double top,Segmentation/0_0000_00135.png
55,69,RGB,PNG,1474,1.44, KB,0,Double top,Segmentation/0_0000_00127.png
